timestamp,datetime,symbol,timeframe,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,obv
1713027600000,2024-04-13 17:00:00,BTC/USDT,1h,67432.38000000,67437.56000000,66500.00000000,66730.87000000,2962.16593000,,,,,,,,,,,,,0.00000000,2962.16593000
1713031200000,2024-04-13 18:00:00,BTC/USDT,1h,66730.86000000,67243.47000000,66444.00000000,67156.27000000,2158.31780000,,,,,,,,,,,,,0.00000000,5120.48373000
1713034800000,2024-04-13 19:00:00,BTC/USDT,1h,67156.27000000,67241.55000000,63750.01000000,64788.01000000,5809.08901000,,,,,,,,,,,,,0.00000000,-688.60528000
1713038400000,2024-04-13 20:00:00,BTC/USDT,1h,64788.01000000,64853.90000000,60660.57000000,61816.02000000,20264.97307000,,,,,,,,,,,,,0.00000000,-20953.57835000
1713042000000,2024-04-13 21:00:00,BTC/USDT,1h,61816.01000000,62959.48000000,61693.00000000,62928.01000000,6673.69922000,,,,,,,,,,,,,0.00000000,-14279.87913000
1713045600000,2024-04-13 22:00:00,BTC/USDT,1h,62928.00000000,64615.38000000,62118.56000000,64293.46000000,6041.25271000,,,,,,,,,,,,,0.00000000,-8238.62642000
1713049200000,2024-04-13 23:00:00,BTC/USDT,1h,64293.47000000,65608.09000000,63651.15000000,63924.51000000,5784.60776000,,,,,,,,,,,,,0.00000000,-14023.23418000
1713052800000,2024-04-14 00:00:00,BTC/USDT,1h,63924.52000000,64303.87000000,62888.00000000,63672.18000000,4986.76877000,,,,,,,,,,,,,0.00000000,-19010.00295000
1713056400000,2024-04-14 01:00:00,BTC/USDT,1h,63672.19000000,64085.70000000,63248.70000000,63743.11000000,2711.46781000,,,,,,,,,,,,,0.00000000,-16298.53514000
1713060000000,2024-04-14 02:00:00,BTC/USDT,1h,63743.10000000,63953.75000000,63016.23000000,63084.18000000,2450.49110000,,,,,,,,,,,,,0.00000000,-18749.02624000
1713063600000,2024-04-14 03:00:00,BTC/USDT,1h,63084.18000000,63576.36000000,62134.00000000,63437.55000000,4287.15479000,,,,,,,,,,,,,0.00000000,-14461.87145000
1713067200000,2024-04-14 04:00:00,BTC/USDT,1h,63437.55000000,64176.46000000,63394.00000000,63956.99000000,2850.24367000,,,,64194.58139958,,,,,,,,,0.00000000,-11611.62778000
1713070800000,2024-04-14 05:00:00,BTC/USDT,1h,63957.00000000,64466.00000000,63921.00000000,64383.99000000,2309.98164000,,,,64223.72118426,,,,,,,,,0.00000000,-9301.64614000
1713074400000,2024-04-14 06:00:00,BTC/USDT,1h,64384.00000000,64872.96000000,64107.09000000,64649.96000000,2456.01877000,,,,64289.29638668,,46.86814579,,,,,,,1562.01571429,-6845.62737000
1713078000000,2024-04-14 07:00:00,BTC/USDT,1h,64649.97000000,64837.07000000,64243.65000000,64464.30000000,2051.12833000,,,,64316.22001950,,45.42164034,,,,,,,1492.83030612,-8896.75570000
1713081600000,2024-04-14 08:00:00,BTC/USDT,1h,64464.30000000,64887.99000000,64372.04000000,64530.67000000,1836.48316000,,,,64349.21232419,,46.06251216,,,,,,,1423.05314140,-7060.27254000
1713085200000,2024-04-14 09:00:00,BTC/USDT,1h,64530.67000000,64721.65000000,63908.31000000,64134.19000000,2179.75735000,,,,64316.13196663,,42.82728080,,,,,,,1379.50220273,-9240.02989000
1713088800000,2024-04-14 10:00:00,BTC/USDT,1h,64134.18000000,64659.80000000,64134.18000000,64457.23000000,1408.27273000,,,,64337.83935638,,46.14617910,,,,,,,1318.51061682,-7831.75716000
1713092400000,2024-04-14 11:00:00,BTC/USDT,1h,64457.23000000,64591.44000000,63855.45000000,64166.05000000,1918.40990000,,,,64311.41022463,,43.68454856,,,,,,,1276.90200133,-9750.16706000
1713096000000,2024-04-14 12:00:00,BTC/USDT,1h,64166.05000000,64848.49000000,64069.79000000,64525.25000000,1927.78743000,64242.14000000,,,64344.30865161,,47.41136893,,,,66514.00076000,64242.14000000,61970.27924000,1241.31614409,-7822.37963000
1713099600000,2024-04-14 13:00:00,BTC/USDT,1h,64525.25000000,64845.37000000,64346.00000000,64373.42000000,1690.70103000,64124.26750000,,,64348.78732059,,46.02490139,,,,66091.61777204,64124.26750000,62156.91722796,1188.31999094,-9513.08066000
1713103200000,2024-04-14 14:00:00,BTC/USDT,1h,64373.43000000,64400.00000000,63437.55000000,63918.01000000,5366.69865000,63962.35450000,,,64282.51388665,,42.05253712,,,,65353.57857034,63962.35450000,62571.13042966,1172.18642016,-14879.77931000
1713106800000,2024-04-14 15:00:00,BTC/USDT,1h,63918.02000000,64475.37000000,63900.00000000,64180.97000000,1593.46490000,63932.00250000,,,64266.89175024,,45.00414055,,,,65275.51899961,63932.00250000,62588.48600039,1129.55667587,-13286.31441000
